emp_id,payroll_month,basic_salary,allowances,deductions,net_salary,payment_date,bank_account,payment_status,tax_deduction,bonus,incentives
E001,2024-01,60000,12309.32,4629.77,63590.45,2024-01-28,XXXX1965,Paid,6000.0,1487.16,423.74
E001,2024-02,60000,14538.63,5298.86,65442.59,2024-02-28,XXXX1529,Paid,6000.0,1933.2,269.62
E001,2024-03,60000,7672.44,3127.76,60081.56,2024-03-28,XXXX7676,Paid,6000.0,53.86,1483.02
E001,2024-04,60000,12687.3,3686.53,63580.1,2024-04-28,XXXX4370,Paid,6000.0,443.44,135.89
E001,2024-05,60000,8682.14,3732.9,60776.85,2024-05-28,XXXX6148,Paid,6000.0,1098.67,728.94
E001,2024-06,60000,6260.3,3170.98,57298.53,2024-06-28,XXXX3179,Paid,6000.0,115.29,93.92
E002,2024-01,80000,18921.56,5785.25,87862.82,2024-01-28,XXXX4556,Paid,8000.0,1637.35,1089.16
E002,2024-02,80000,15625.08,5201.79,85041.34,2024-02-28,XXXX3655,Paid,8000.0,1280.44,1337.61
E002,2024-03,80000,11298.62,5880.14,80235.37,2024-03-28,XXXX2826,Paid,8000.0,1977.77,839.12
E002,2024-04,80000,19996.39,6548.93,88282.77,2024-04-28,XXXX1892,Paid,8000.0,1492.56,1342.75
E002,2024-05,80000,16317.34,4045.03,86625.0,2024-05-28,XXXX2357,Paid,8000.0,1913.43,439.26
E002,2024-06,80000,8964.97,5158.73,76692.25,2024-06-28,XXXX7462,Paid,8000.0,95.69,790.32
E003,2024-01,55000,13219.39,3946.97,59518.43,2024-01-28,XXXX2136,Paid,5500.0,391.06,354.95
E003,2024-02,55000,7086.73,4967.65,52796.18,2024-02-28,XXXX9530,Paid,5500.0,1034.45,142.65
E003,2024-03,55000,5690.48,5387.46,51627.71,2024-03-28,XXXX1120,Paid,5500.0,905.53,919.16
E003,2024-04,55000,6382.73,3165.49,54155.82,2024-04-28,XXXX2312,Paid,5500.0,1189.12,249.46
E003,2024-05,55000,13619.71,3890.58,61009.94,2024-05-28,XXXX2095,Paid,5500.0,1063.37,717.44
E003,2024-06,55000,10626.04,3035.56,59366.47,2024-06-28,XXXX6416,Paid,5500.0,1735.75,540.24
E004,2024-01,45000,11180.63,3709.54,50679.98,2024-01-28,XXXX2651,Paid,4500.0,1324.08,1384.81
E004,2024-02,45000,10635.66,4457.47,47918.01,2024-02-28,XXXX2158,Paid,4500.0,1093.3,146.52
E004,2024-03,45000,10045.05,4472.77,46917.59,2024-03-28,XXXX3244,Paid,4500.0,842.0,3.31
E004,2024-04,45000,11149.62,2369.51,50550.38,2024-04-28,XXXX5669,Paid,4500.0,1254.05,16.22
E004,2024-05,45000,5775.44,2729.38,44350.82,2024-05-28,XXXX3703,Paid,4500.0,184.01,620.75
E004,2024-06,45000,6893.8,2992.73,45062.86,2024-06-28,XXXX6664,Paid,4500.0,262.44,399.35
E005,2024-01,40000,9658.88,2693.42,45410.39,2024-01-28,XXXX4471,Paid,4000.0,1756.51,688.42
E005,2024-02,40000,5376.56,3509.25,40533.29,2024-02-28,XXXX3472,Paid,4000.0,1194.27,1471.71
E005,2024-03,40000,8916.18,2808.16,43486.18,2024-03-28,XXXX2977,Paid,4000.0,605.9,772.26
E005,2024-04,40000,4454.28,3042.07,38499.08,2024-04-28,XXXX7779,Paid,4000.0,517.84,569.03
E005,2024-05,40000,6132.66,3801.45,40816.87,2024-05-28,XXXX2357,Paid,4000.0,1893.44,592.22
E005,2024-06,40000,6606.49,3671.69,39924.53,2024-06-28,XXXX4258,Paid,4000.0,597.32,392.41
E006,2024-01,50000,9039.24,2584.85,52406.97,2024-01-28,XXXX2494,Paid,5000.0,911.45,41.13
E006,2024-02,50000,7074.42,3919.21,51042.32,2024-02-28,XXXX5118,Paid,5000.0,1784.13,1102.98
E006,2024-03,50000,5635.55,2723.77,50005.75,2024-03-28,XXXX1365,Paid,5000.0,1412.71,681.26
E006,2024-04,50000,9111.14,4795.64,50793.77,2024-04-28,XXXX4635,Paid,5000.0,1391.53,86.74
E006,2024-05,50000,5225.15,3072.69,47727.3,2024-05-28,XXXX2003,Paid,5000.0,103.27,471.57
E006,2024-06,50000,8168.76,3434.29,51277.56,2024-06-28,XXXX6187,Paid,5000.0,1255.93,287.16
